"{""A"": ""{\""position\"": {\""left_up\"": [0", 0]," \""right_down\"": [783", 60]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:bloc bgc-white none sticky-nav l-bloc Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 392]," \""right_down\"": [526", 430]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[1]/input\"""," \""context\"": {\""data\"": \"" Name:Username Type:text Id:Username Class:form-control Placeholder:请输入邮箱\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [5", 0]," \""right_down\"": [778", 60]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:navbar navbar-light row navbar-expand-md Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [331", 1791]," \""right_down\"": [532", 1829]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[16]/input\"""," \""context\"": {\""data\"": \"" Name:company_fax Type:text Id:company_fax Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [5", 0]," \""right_down\"": [778", 60]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:navbar navbar-light row navbar-expand-md Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [236", 1847]," \""right_down\"": [249", 1860]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[17]/input\"""," \""context\"": {\""data\"": \"" Name:maillist Type:checkbox Id:maillist Class: Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 392]," \""right_down\"": [526", 430]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[1]/input\"""," \""context\"": {\""data\"": \"" Name:Username Type:text Id:Username Class:form-control Placeholder:请输入邮箱\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 440]," \""right_down\"": [526", 478]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[2]/input\"""," \""context\"": {\""data\"": \"" Name:Password Type:password Id:Password Class:form-control Placeholder:请输入密码\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 488]," \""right_down\"": [526", 526]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[3]/input\"""," \""context\"": {\""data\"": \"" Name:Verification Type:text Id:Verification Class:form-control Placeholder:请输入验证码\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 961]," \""right_down\"": [535", 999]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[1]/input\"""," \""context\"": {\""data\"": \"" Name:email Type:text Id:email Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1009]," \""right_down\"": [535", 1047]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[2]/input\"""," \""context\"": {\""data\"": \"" Name:password Type:password Id:password Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1057]," \""right_down\"": [535", 1095]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[3]/input\"""," \""context\"": {\""data\"": \"" Name:confirm Type:password Id:confirm Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1153]," \""right_down\"": [534", 1191]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[5]/input\"""," \""context\"": {\""data\"": \"" Name:name Type:text Id:name Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1330]," \""right_down\"": [534", 1368]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[8]/input\"""," \""context\"": {\""data\"": \"" Name:postcode Type:text Id:postcode Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1378]," \""right_down\"": [534", 1416]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[9]/input\"""," \""context\"": {\""data\"": \"" Name:tel Type:text Id:tel Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1426]," \""right_down\"": [534", 1464]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[10]/input\"""," \""context\"": {\""data\"": \"" Name:mobile Type:text Id:mobile Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1518]," \""right_down\"": [535", 1556]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[11]/input\"""," \""context\"": {\""data\"": \"" Name:company Type:text Id:company Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1566]," \""right_down\"": [535", 1604]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[12]/input\"""," \""context\"": {\""data\"": \"" Name:company_website Type:text Id:company_website Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [331", 1695]," \""right_down\"": [532", 1733]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[14]/input\"""," \""context\"": {\""data\"": \"" Name:company_postcode Type:text Id:company_postcode Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [331", 1743]," \""right_down\"": [532", 1781]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[15]/input\"""," \""context\"": {\""data\"": \"" Name:company_tel Type:text Id:company_tel Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [331", 1791]," \""right_down\"": [532", 1829]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[16]/input\"""," \""context\"": {\""data\"": \"" Name:company_fax Type:text Id:company_fax Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [137", 8]," \""right_down\"": [762", 52]}," \""xpath\"": \""/html/body/div[1]/div[1]\"""," \""context\"": {\""data\"": \""Class:collapse navbar-collapse navbar-1 special-dropdown-nav Text:产品中心\\n解决方案\\n技术创新\\n服务支持\\n新闻中心\\n关于飞天\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [236", 1847]," \""right_down\"": [249", 1860]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[17]/input\"""," \""context\"": {\""data\"": \"" Name:maillist Type:checkbox Id:maillist Class: Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 392]," \""right_down\"": [526", 430]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[1]/input\"""," \""context\"": {\""data\"": \"" Name:Username Type:text Id:Username Class:form-control Placeholder:请输入邮箱\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 440]," \""right_down\"": [526", 478]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[2]/input\"""," \""context\"": {\""data\"": \"" Name:Password Type:password Id:Password Class:form-control Placeholder:请输入密码\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 488]," \""right_down\"": [526", 526]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[3]/input\"""," \""context\"": {\""data\"": \"" Name:Verification Type:text Id:Verification Class:form-control Placeholder:请输入验证码\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 961]," \""right_down\"": [535", 999]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[1]/input\"""," \""context\"": {\""data\"": \"" Name:email Type:text Id:email Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1009]," \""right_down\"": [535", 1047]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[2]/input\"""," \""context\"": {\""data\"": \"" Name:password Type:password Id:password Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1057]," \""right_down\"": [535", 1095]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[3]/input\"""," \""context\"": {\""data\"": \"" Name:confirm Type:password Id:confirm Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1153]," \""right_down\"": [534", 1191]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[5]/input\"""," \""context\"": {\""data\"": \"" Name:name Type:text Id:name Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1330]," \""right_down\"": [534", 1368]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[8]/input\"""," \""context\"": {\""data\"": \"" Name:postcode Type:text Id:postcode Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1378]," \""right_down\"": [534", 1416]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[9]/input\"""," \""context\"": {\""data\"": \"" Name:tel Type:text Id:tel Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1426]," \""right_down\"": [534", 1464]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[10]/input\"""," \""context\"": {\""data\"": \"" Name:mobile Type:text Id:mobile Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1518]," \""right_down\"": [535", 1556]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[11]/input\"""," \""context\"": {\""data\"": \"" Name:company Type:text Id:company Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1566]," \""right_down\"": [535", 1604]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[12]/input\"""," \""context\"": {\""data\"": \"" Name:company_website Type:text Id:company_website Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [331", 1695]," \""right_down\"": [532", 1733]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[14]/input\"""," \""context\"": {\""data\"": \"" Name:company_postcode Type:text Id:company_postcode Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [331", 1743]," \""right_down\"": [532", 1781]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[15]/input\"""," \""context\"": {\""data\"": \"" Name:company_tel Type:text Id:company_tel Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [331", 1791]," \""right_down\"": [532", 1829]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[16]/input\"""," \""context\"": {\""data\"": \"" Name:company_fax Type:text Id:company_fax Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [65", 286]," \""right_down\"": [718", 695]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]\"""," \""context\"": {\""data\"": \""Class:col-lg-10 col-md-10 col-sm-12 bgc-white content-box text-center span10 Text:用户登录\\n账   号：  \\n密   码：  \\n验证码：  \\n用户注册\\n用户激活\\n找回密码\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [236", 1847]," \""right_down\"": [249", 1860]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[17]/input\"""," \""context\"": {\""data\"": \"" Name:maillist Type:checkbox Id:maillist Class: Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [66", 317]," \""right_down\"": [717", 352]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/div[1]\"""," \""context\"": {\""data\"": \""Class:col-lg-12 col-md-12 col-sm-12 text-center mg-lg Text:用户登录\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 392]," \""right_down\"": [526", 430]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[1]/input\"""," \""context\"": {\""data\"": \"" Name:Username Type:text Id:Username Class:form-control Placeholder:请输入邮箱\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [66", 317]," \""right_down\"": [717", 352]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/div[1]\"""," \""context\"": {\""data\"": \""Class:col-lg-12 col-md-12 col-sm-12 text-center mg-lg Text:用户登录\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 440]," \""right_down\"": [526", 478]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[2]/input\"""," \""context\"": {\""data\"": \"" Name:Password Type:password Id:Password Class:form-control Placeholder:请输入密码\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [66", 317]," \""right_down\"": [717", 352]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/div[1]\"""," \""context\"": {\""data\"": \""Class:col-lg-12 col-md-12 col-sm-12 text-center mg-lg Text:用户登录\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [325", 488]," \""right_down\"": [526", 526]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/form/div[3]/input\"""," \""context\"": {\""data\"": \"" Name:Verification Type:text Id:Verification Class:form-control Placeholder:请输入验证码\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [66", 317]," \""right_down\"": [717", 352]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/div[1]\"""," \""context\"": {\""data\"": \""Class:col-lg-12 col-md-12 col-sm-12 text-center mg-lg Text:用户登录\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 961]," \""right_down\"": [535", 999]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[1]/input\"""," \""context\"": {\""data\"": \"" Name:email Type:text Id:email Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [66", 317]," \""right_down\"": [717", 352]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/div[1]\"""," \""context\"": {\""data\"": \""Class:col-lg-12 col-md-12 col-sm-12 text-center mg-lg Text:用户登录\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1009]," \""right_down\"": [535", 1047]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[2]/input\"""," \""context\"": {\""data\"": \"" Name:password Type:password Id:password Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [66", 317]," \""right_down\"": [717", 352]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/div[1]\"""," \""context\"": {\""data\"": \""Class:col-lg-12 col-md-12 col-sm-12 text-center mg-lg Text:用户登录\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [334", 1057]," \""right_down\"": [535", 1095]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[3]/input\"""," \""context\"": {\""data\"": \"" Name:confirm Type:password Id:confirm Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
"{""A"": ""{\""position\"": {\""left_up\"": [66", 317]," \""right_down\"": [717", 352]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[3]/div[1]\"""," \""context\"": {\""data\"": \""Class:col-lg-12 col-md-12 col-sm-12 text-center mg-lg Text:用户登录\""}}"""," ""B"": ""{\""position\"": {\""left_up\"": [333", 1153]," \""right_down\"": [534", 1191]}," \""xpath\"": \""/html/body/div[1]/div[2]/div/div/div[7]/form/div[5]/input\"""," \""context\"": {\""data\"": \"" Name:name Type:text Id:name Class:form-control Placeholder:\""}}"""," ""Result"": ""0""}"
